D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_026.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_026.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_026.jpg,0,0,0,5.759827E-05
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_103.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_103.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_103.jpg,0,0,0,1.006394E-05
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_172.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_172.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_172.jpg,0,0,0,7.412117E-05
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_243.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_243.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_243.jpg,0,0,0,9.065076E-05
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_315.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_315.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_315.jpg,0,0,0,0.0001155006
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_389.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_389.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_389.jpg,0,0,0,0.0001317681
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_459.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_459.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_459.jpg,0,0.1590714,0,0.03591973
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_530.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_530.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_530.jpg,0,0.422148,0,0.4003065
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_604.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_604.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_604.jpg,0,0.6438843,0,0.8802899
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_675.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_675.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_675.jpg,0,0.8568336,0,1.477503
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_747.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_747.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_747.jpg,0,1,0,2.408589
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_822.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_822.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_822.jpg,0,1,0,3.346942
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_890.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_890.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_890.jpg,0,1,0,4.052174
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_35_963.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_35_963.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_35_963.jpg,0,1,0,4.985454
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_037.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_037.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_037.jpg,0,1,0,5.680532
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_106.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_106.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_106.jpg,0,1,0,6.60107
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_177.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_177.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_177.jpg,0,1,0,7.286681
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_250.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_250.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_250.jpg,0,1,0,8.194578
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_321.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_321.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_321.jpg,0,1,0,9.09543
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_392.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_392.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_392.jpg,0,1,0,9.76663
D:\Unreal Projects\MyProject2\IMG\center_2020_05_07_05_49_36_462.jpg,D:\Unreal Projects\MyProject2\IMG\left_2020_05_07_05_49_36_462.jpg,D:\Unreal Projects\MyProject2\IMG\right_2020_05_07_05_49_36_462.jpg,0,1,0,10.65528
